,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,0.1,1.1,2.1,3.1,4.1,0.1.1,1.1.1,2.1.1,3.1.1,0.1.1.1,1.1.1.1,2.1.1.1,3.1.1.1,4.1.1,5.1,6.1,7.1,8.1,9.1,10.1,0.1.1.1.1,1.1.1.1.1,2.1.1.1.1,3.1.1.1.1,4.1.1.1,0.1.1.1.1.1,1.1.1.1.1.1,2.1.1.1.1.1,3.1.1.1.1.1,4.1.1.1.1,0.1.1.1.1.1.1,1.1.1.1.1.1.1,2.1.1.1.1.1.1,3.1.1.1.1.1.1,4.1.1.1.1.1,0.1.1.1.1.1.1.1,1.1.1.1.1.1.1.1,2.1.1.1.1.1.1.1,3.1.1.1.1.1.1.1,4.1.1.1.1.1.1,0.1.1.1.1.1.1.1.1,1.1.1.1.1.1.1.1.1,2.1.1.1.1.1.1.1.1,3.1.1.1.1.1.1.1.1,4.1.1.1.1.1.1.1,0.1.1.1.1.1.1.1.1.1,1.1.1.1.1.1.1.1.1.1,2.1.1.1.1.1.1.1.1.1,3.1.1.1.1.1.1.1.1.1,4.1.1.1.1.1.1.1.1,0.1.1.1.1.1.1.1.1.1.1,1.1.1.1.1.1.1.1.1.1.1,2.1.1.1.1.1.1.1.1.1.1,3.1.1.1.1.1.1.1.1.1.1,4.1.1.1.1.1.1.1.1.1,0.1.1.1.1.1.1.1.1.1.1.1,1.1.1.1.1.1.1.1.1.1.1.1,2.1.1.1.1.1.1.1.1.1.1.1,3.1.1.1.1.1.1.1.1.1.1.1,4.1.1.1.1.1.1.1.1.1.1,0.1.1.1.1.1.1.1.1.1.1.1.1,1.1.1.1.1.1.1.1.1.1.1.1.1,2.1.1.1.1.1.1.1.1.1.1.1.1,3.1.1.1.1.1.1.1.1.1.1.1.1,4.1.1.1.1.1.1.1.1.1.1.1,0.1.1.1.1.1.1.1.1.1.1.1.1.1,1.1.1.1.1.1.1.1.1.1.1.1.1.1,2.1.1.1.1.1.1.1.1.1.1.1.1.1,3.1.1.1.1.1.1.1.1.1.1.1.1.1,4.1.1.1.1.1.1.1.1.1.1.1.1
var8,-1.0,0.7,7.2,19.2,194.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
var0,-99998.00099999999,0.5,20.501,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
var7,-0.001,0.727,1.264,1.67,2.0,2.667,4.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
var6,-10000000.001,2.11,12.66,160.0,2500.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
var9,-99998.001,280.2,645.1,1200.4,1572.1,1889.4,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
var10,-0.001,0.8571428571428571,1.3333333333333333,1.7142857142857142,2.4000000000000004,3.0,4.0,6.0,12.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
var11,-0.001,1.0,2.0,3.0,4.0,5.0,6.0,7.0,10.0,72.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
var2,-99998.00099999999,5.0,100.0,200.0,400.0,600.0,1000.0,1200.0,10000000.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
var4,-0.001,0.67,0.8,0.88,0.93,0.96,1.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
var1,-10000000.001,0.0,0.5,1.5,2.5,3.5,4.5,5.5,12.501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
var3,-10000000.001,0.0,0.2,0.42857142857142855,0.8181818181818181,1.0,1.2857142857142856,1.4210526315789471,2.0526315789473686,3.0,5.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
var5,-10000000.0,0.2,0.7142857142857143,1.0,1.4705882352941178,1.5714285714285714,1.8,2.272727272727273,2.636363636363636,3.0,3.56,4.090909090909091,5.0,5.666666666666668,8.090909090909092,9.666666666666666,11.8,17.0,33.0,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
var12,-0.001,0.037037037037037035,0.07692307692307693,0.1111111111111111,0.14285714285714285,0.18181818181818185,0.2307692307692308,0.28,0.3333333333333333,0.4,0.5,0.6363636363636364,0.8706171107994415,30.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
var25,-10000000.0,0.0,0.5,1.5,2.5,3.5,4.5,5.5,7.5,9.5,20.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
var13,-0.001,0.42857142857142855,0.6923076923076923,0.8,0.8999999999999999,1.0,1.0714285714285714,1.125,1.2000000000000002,1.2413793103448276,1.3333333333333333,1.5,1.5789473684210529,2.0,3.0010000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
